label,City,Zip Code,Latitude,Longitude
Clarksburg — 95612,Clarksburg,95612,38.384648,-121.578701
Clayton — 94517,Clayton,94517,37.881842,-121.848111
Clearlake — 95422,Clearlake,95422,38.965804,-122.631779
Clearlake Oaks — 95423,Clearlake Oaks,95423,39.07116,-122.598542
Clements — 95227,Clements,95227,38.227285,-121.02789
Clio — 96106,Clio,96106,39.745805,-120.580882
Clipper Mills — 95930,Clipper Mills,95930,39.562239,-121.14836
Cloverdale — 95425,Cloverdale,95425,38.801936,-122.938935
Clovis — 93611,Clovis,93611,36.917652,-119.593757
Clovis — 93612,Clovis,93612,36.814539,-119.711868
Coachella — 92236,Coachella,92236,33.680031,-116.171678
Coalinga — 93210,Coalinga,93210,36.186867,-120.387793
Coarsegold — 93614,Coarsegold,93614,37.212191,-119.749323
Cobb — 95426,Cobb,95426,38.838088,-122.73203
Coleville — 96107,Coleville,96107,38.42528,-119.475741
Colfax — 95713,Colfax,95713,39.084645,-120.894014
Colton — 92324,Colton,92324,34.030915,-117.273201
Columbia — 95310,Columbia,95310,38.085839,-120.37855
Colusa — 95932,Colusa,95932,39.273096,-122.050763
Comptche — 95427,Comptche,95427,39.239818,-123.565432
Compton — 90220,Compton,90220,33.88151,-118.234451
Compton — 90221,Compton,90221,33.885811,-118.206459
Compton — 90222,Compton,90222,33.912246,-118.236773
Concord — 94518,Concord,94518,37.950248,-122.022455
Concord — 94519,Concord,94519,37.990118,-122.012188
Concord — 94520,Concord,94520,38.013825,-122.039144
Concord — 94521,Concord,94521,37.971421,-121.971504
Cool — 95614,Cool,95614,38.880622,-120.973865
Copperopolis — 95228,Copperopolis,95228,37.943954,-120.67108
Corcoran — 93212,Corcoran,93212,36.04533,-119.532424
Corning — 96021,Corning,96021,39.913777,-122.289984
Corona — 92879,Corona,92879,33.893823,-117.531446
Corona — 92880,Corona,92880,33.918043,-117.617809
Corona — 92881,Corona,92881,33.833686,-117.513063
Corona — 92882,Corona,92882,33.819385,-117.600213
Corona — 92883,Corona,92883,33.762351,-117.488725
Corona Del Mar — 92625,Corona Del Mar,92625,33.600987,-117.862734
Coronado — 92118,Coronado,92118,32.68674,-117.186612
Corte Madera — 94925,Corte Madera,94925,37.924014,-122.511694
Costa Mesa — 92626,Costa Mesa,92626,33.678591,-117.905471
Costa Mesa — 92627,Costa Mesa,92627,33.645672,-117.922613
Cotati — 94931,Cotati,94931,38.326215,-122.718742
Cottonwood — 96022,Cottonwood,96022,40.336392,-122.448533
Coulterville — 95311,Coulterville,95311,37.722127,-120.110174
Courtland — 95615,Courtland,95615,38.311609,-121.554034
Covelo — 95428,Covelo,95428,39.83307,-123.178765
Covina — 91722,Covina,91722,34.097345,-117.906736
Covina — 91723,Covina,91723,34.084747,-117.886844
Covina — 91724,Covina,91724,34.08111,-117.853935
Crescent City — 95531,Crescent City,95531,41.701223,-124.003393
Crescent Mills — 95934,Crescent Mills,95934,40.080342,-120.957805
Cressey — 95312,Cressey,95312,37.420273,-120.66527
Crestline — 92325,Crestline,92325,34.248061,-117.29028
Creston — 93432,Creston,93432,35.480896,-120.469476
Crockett — 94525,Crockett,94525,38.049292,-122.228415
Crows Landing — 95313,Crows Landing,95313,37.435664,-121.049056
Culver City — 90230,Culver City,90230,33.993991,-118.39704
Culver City — 90232,Culver City,90232,34.019323,-118.391902
Cupertino — 95014,Cupertino,95014,37.306612,-122.080621
Cutler — 93615,Cutler,93615,36.497895,-119.285484
Cypress — 90630,Cypress,90630,33.818477,-118.038307
